127.0.0.1 - - [11/Jun/2026:09:33:58 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:34:00 +0900] "GET /ServletProject/boardone/list.jsp HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:34:00 +0900] "GET /ServletProject/boardone/img/level.gif HTTP/1.1" 404 944
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:34:00 +0900] "GET /ServletProject/boardone/style.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:34:00 +0900] "GET /favicon.ico HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:16 +0900] "GET /ServletProject/boardone/content.jsp HTTP/1.1" 500 2694
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:44 +0900] "GET /ServletProject/boardone/list.jsp HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:44 +0900] "GET /ServletProject/boardone/style.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:44 +0900] "GET /ServletProject/boardone/img/level.gif HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:47 +0900] "GET /ServletProject/boardone/writeForm.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:47 +0900] "GET /ServletProject/boardone/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:53 +0900] "POST /ServletProject/boardone/writeProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:53 +0900] "GET /ServletProject/boardone/list.jsp HTTP/1.1" 200 7741
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:44:57 +0900] "GET /ServletProject/boardone/content.jsp?num=74&pageNum=1 HTTP/1.1" 200 1952
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:03 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:38 +0900] "GET /ServletProject/boardone/content.jsp?num=74&pageNum=1 HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:38 +0900] "GET /ServletProject/boardone/style.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:38 +0900] "GET /favicon.ico HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:39 +0900] "GET /ServletProject/boardone/deleteForm.jsp?num=74&pageNum=1 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:40 +0900] "GET /ServletProject/boardone/list.jsp?pageNum=1 HTTP/1.1" 200 7741
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:40 +0900] "GET /ServletProject/boardone/img/level.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:42 +0900] "GET /ServletProject/boardone/content.jsp?num=74&pageNum=1 HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:43 +0900] "GET /ServletProject/boardone/writeForm.jsp?num=74&ref=74&step=0&depth=0 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:50 +0900] "POST /ServletProject/boardone/writeProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:45:50 +0900] "GET /ServletProject/boardone/list.jsp HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:46:26 +0900] "GET /ServletProject/boardone/list.jsp HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:46:26 +0900] "GET /ServletProject/boardone/style.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:46:26 +0900] "GET /ServletProject/boardone/img/level.gif HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:46:26 +0900] "GET /favicon.ico HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:47:09 +0900] "GET /ServletProject/boardone/content.jsp?num=75&pageNum=1 HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:47:16 +0900] "GET /ServletProject/boardone/list.jsp?pageNum=1 HTTP/1.1" 200 7725
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:47:16 +0900] "GET /ServletProject/boardone/img/level.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:47:18 +0900] "GET /ServletProject/boardone/list.jsp?pageNum=2 HTTP/1.1" 200 7780
0:0:0:0:0:0:0:1 - - [11/Jun/2026:09:47:20 +0900] "GET /ServletProject/boardone/list.jsp?pageNum=1 HTTP/1.1" 200 7725
0:0:0:0:0:0:0:1 - - [11/Jun/2026:10:34:21 +0900] "GET /ServletProject/boardone/list.jsp?pageNum=1 HTTP/1.1" 200 8026
0:0:0:0:0:0:0:1 - - [11/Jun/2026:10:34:21 +0900] "GET /ServletProject/boardone/style.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [11/Jun/2026:10:34:21 +0900] "GET /ServletProject/boardone/img/level.gif HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [11/Jun/2026:10:34:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
